Innings,Venue,Start Date,End Date,Team,Player 1,Player 2,Player 1 Runs,Player 1 Balls,Partnership Runs,Partnership Balls,Player 2 Runs,Player 2 Balls
1st match (N),Bengaluru,18-April-2008,18-April-2008,Kolkata Knight Riders,SC Ganguly,BB McCullum,10,12,61,32,41,20
1st match (N),Bengaluru,18-April-2008,18-April-2008,Kolkata Knight Riders,RT Ponting,BB McCullum,20,20,51,41,27,21
1st match (N),Bengaluru,18-April-2008,18-April-2008,Kolkata Knight Riders,BB McCullum,DJ Hussey,45,18,60,30,12,12
1st match (N),Bengaluru,18-April-2008,18-April-2008,Kolkata Knight Riders,BB McCullum,Mohammad Hafeez,45,14,50,17,5,3
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,R Dravid,W Jaffer,2,3,4,7,1,4
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,W Jaffer,V Kohli,0,2,5,7,1,5
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,JH Kallis,W Jaffer,8,7,15,15,5,8
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,W Jaffer,CL White,0,2,0,3,0,1
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,MV Boucher,CL White,7,9,14,15,4,6
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,B Akhil,CL White,0,2,0,3,0,1
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,AA Noffke,CL White,1,2,5,4,2,2
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,AA Noffke,P Kumar,8,8,14,13,4,5
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,Z Khan,P Kumar,3,8,13,12,8,4
1st match (N),Bengaluru,18-April-2008,18-April-2008,Royal Challengers Bangalore,SB Joshi,P Kumar,3,6,12,12,6,6
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Chennai Super Kings,ML Hayden,PA Patel,9,7,26,17,15,10
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Chennai Super Kings,ML Hayden,MEK Hussey,16,10,31,22,14,12
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Chennai Super Kings,MEK Hussey,MS Dhoni,3,2,5,5,2,3
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Chennai Super Kings,MEK Hussey,SK Raina,33,17,66,30,32,13
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Chennai Super Kings,MEK Hussey,JDP Oram,24,10,39,20,13,10
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Chennai Super Kings,MEK Hussey,S Badrinath,42,13,73,27,31,14
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Kings XI Punjab,JR Hopes,K Goel,31,16,56,35,24,19
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Kings XI Punjab,JR Hopes,KC Sangakkara,40,17,55,27,12,10
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Kings XI Punjab,Yuvraj Singh,KC Sangakkara,23,13,42,24,15,11
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Kings XI Punjab,SM Katich,KC Sangakkara,8,8,37,20,27,12
2nd match (D/N),Mohali,19-April-2008,19-April-2008,Kings XI Punjab,SM Katich,IK Pathan,13,9,17,14,3,5
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,KP Pietersen,MA Agarwal,11,9,13,14,2,5
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,KP Pietersen,KD Karthik,17,11,31,18,13,7
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,KP Pietersen,KM Jadhav,0,0,0,4,0,4
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,KP Pietersen,MK Tiwary,14,10,23,21,8,11
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,KP Pietersen,JP Duminy,16,10,24,18,8,8
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,KP Pietersen,JDS Neesham,0,1,2,7,2,6
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,S Nadeem,JDS Neesham,2,6,17,20,10,14
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,S Nadeem,Mohammed Shami,1,1,1,2,0,1
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,S Nadeem,Imran Tahir,0,0,4,4,4,4
55th match (D/N),Mohali,25-May-2014,25-May-2014,Delhi Daredevils,S Nadeem,JD Unadkat,0,0,0,1,0,1
55th match (D/N),Mohali,25-May-2014,25-May-2014,Kings XI Punjab,V Sehwag,M Vohra,9,7,13,14,3,7
55th match (D/N),Mohali,25-May-2014,25-May-2014,Kings XI Punjab,GJ Maxwell,M Vohra,0,3,3,6,2,3
55th match (D/N),Mohali,25-May-2014,25-May-2014,Kings XI Punjab,DA Miller,M Vohra,41,32,96,60,42,28
55th match (D/N),Mohali,25-May-2014,25-May-2014,Kings XI Punjab,GJ Bailey,DA Miller,1,1,7,3,6,2
56th match (N),Wankhede,25-May-2014,25-May-2014,Rajasthan Royals,SR Watson,SV Samson,8,18,34,33,24,15
56th match (N),Wankhede,25-May-2014,25-May-2014,Rajasthan Royals,KK Nair,SV Samson,50,27,100,57,49,30
56th match (N),Wankhede,25-May-2014,25-May-2014,Rajasthan Royals,BJ Hodge,SV Samson,1,1,2,3,1,2
56th match (N),Wankhede,25-May-2014,25-May-2014,Rajasthan Royals,BJ Hodge,JP Faulkner,24,14,49,26,23,12
56th match (N),Wankhede,25-May-2014,25-May-2014,Rajasthan Royals,BJ Hodge,KK Cooper,4,1,4,1,0,0
56th match (N),Wankhede,25-May-2014,25-May-2014,Mumbai Indians,MEK Hussey,LMP Simmons,7,3,19,11,12,8
56th match (N),Wankhede,25-May-2014,25-May-2014,Mumbai Indians,MEK Hussey,CJ Anderson,15,8,34,15,18,7
56th match (N),Wankhede,25-May-2014,25-May-2014,Mumbai Indians,KA Pollard,CJ Anderson,7,3,8,4,0,1
56th match (N),Wankhede,25-May-2014,25-May-2014,Mumbai Indians,RG Sharma,CJ Anderson,16,11,47,26,28,15
56th match (N),Wankhede,25-May-2014,25-May-2014,Mumbai Indians,AT Rayudu,CJ Anderson,30,10,81,31,49,21
56th match (N),Wankhede,25-May-2014,25-May-2014,Mumbai Indians,CJ Anderson,AP Tare,0,0,6,1,6,1
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,G Gambhir,RV Uthappa,1,3,2,8,1,5
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,RV Uthappa,MK Pandey,41,25,65,42,21,17
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,Shakib Al Hasan,MK Pandey,0,0,0,3,0,3
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,20,17,41,33,18,16
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,YK Pathan,RN ten Doeschate,0,1,0,1,0,0
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,RN ten Doeschate,SA Yadav,16,7,37,21,20,14
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,RN ten Doeschate,PP Chawla,1,3,2,4,1,1
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,PP Chawla,SP Narine,12,7,12,7,0,0
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kolkata Knight Riders,PP Chawla,M Morkel,4,1,4,1,0,0
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,V Sehwag,M Vohra,2,3,5,7,2,4
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,WP Saha,M Vohra,15,13,40,28,24,15
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,WP Saha,GJ Maxwell,2,3,10,12,6,9
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,WP Saha,DA Miller,18,15,25,25,6,10
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,DA Miller,AR Patel,2,2,2,2,0,0
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,GJ Bailey,AR Patel,3,5,5,7,2,2
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,GJ Bailey,R Dhawan,16,9,30,24,14,15
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,MG Johnson,GJ Bailey,10,7,17,10,7,3
Qualifier 1 (D/N),Eden Gardens,27-May-2014,28-May-2014,Kings XI Punjab,MG Johnson,Karanveer Singh,0,4,1,5,1,1
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,MEK Hussey,LMP Simmons,39,33,76,58,35,25
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,LMP Simmons,CJ Anderson,3,5,23,15,20,10
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,LMP Simmons,RG Sharma,29,14,44,27,15,13
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,RG Sharma,KA Pollard,5,3,7,5,2,2
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,AT Rayudu,KA Pollard,1,1,13,7,12,6
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,AT Rayudu,AP Tare,1,1,1,2,0,1
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,Harbhajan Singh,AT Rayudu,0,0,0,1,0,1
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,Harbhajan Singh,P Kumar,1,1,2,3,1,2
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Mumbai Indians,Harbhajan Singh,PP Ojha,6,1,7,2,1,1
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Chennai Super Kings,DR Smith,F du Plessis,24,20,60,38,34,18
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Chennai Super Kings,SK Raina,F du Plessis,1,1,4,3,1,2
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Chennai Super Kings,BB McCullum,SK Raina,14,11,23,16,7,5
Eliminator (N),Brabourne,28-May-2014,28-May-2014,Chennai Super Kings,DJ Hussey,SK Raina,40,29,89,56,46,27
